,action,cash,volumn,cost,total_nav
0,0.0,0.0,5.0466676389091445,0.001,0.999
1,2.0,1.0046667638909146,0.0,0.000999,1.0036677638909146
2,1.0,1.0046667638909146,0.0,0.0,1.0046667638909146
3,0.0,0.0,4.838760384752276,0.0010046667638909147,1.0036620971270236
4,2.0,1.0101899840960213,0.0,0.0010036620971270237,1.0091863219988944
5,1.0,1.0101899840960213,0.0,0.0,1.0101899840960213
6,2.0,1.0101899840960213,0.0,0.0,1.0101899840960213
7,2.0,1.0101899840960213,0.0,0.0,1.0101899840960213
8,2.0,1.0101899840960213,0.0,0.0,1.0101899840960213
9,2.0,1.0101899840960213,0.0,0.0,1.0101899840960213
10,2.0,1.0101899840960213,0.0,0.0,1.0101899840960213
11,2.0,1.0101899840960213,0.0,0.0,1.0101899840960213
12,1.0,1.0101899840960213,0.0,0.0,1.0101899840960213
13,2.0,1.0101899840960213,0.0,0.0,1.0101899840960213
14,1.0,1.0101899840960213,0.0,0.0,1.0101899840960213
15,1.0,1.0101899840960213,0.0,0.0,1.0101899840960213
16,2.0,1.0101899840960213,0.0,0.0,1.0101899840960213
17,2.0,1.0101899840960213,0.0,0.0,1.0101899840960213
18,0.0,0.0,4.050944365217315,0.0010101899840960213,1.0091797941119254
19,2.0,1.024647190543192,0.0,0.0010091797941119253,1.0236380107490801
20,2.0,1.024647190543192,0.0,0.0,1.024647190543192
21,2.0,1.024647190543192,0.0,0.0,1.024647190543192
22,2.0,1.024647190543192,0.0,0.0,1.024647190543192
23,2.0,1.024647190543192,0.0,0.0,1.024647190543192
24,2.0,1.024647190543192,0.0,0.0,1.024647190543192
25,2.0,1.024647190543192,0.0,0.0,1.024647190543192
26,2.0,1.024647190543192,0.0,0.0,1.024647190543192
27,0.0,0.0,4.031599321062781,0.001024647190543192,1.0236225433526487
28,2.0,0.9797351391555398,0.0,0.0010236225433526488,0.9787115166121871
29,0.0,0.0,4.059112180841359,0.0009787115166121872,0.9787564276389275
30,2.0,1.003898615799184,0.0,0.0009787564276389274,1.0029198593715452
31,2.0,1.003898615799184,0.0,0.0,1.003898615799184
32,0.0,0.0,3.9251919778239386,0.001003898615799184,1.0028947171833849
33,1.0,0.0,3.9251919778239386,0.0,1.002083760383921
34,0.0,0.0,3.9251919778239386,0.0,1.0137668921196779
35,2.0,0.9987376207120293,0.0,0.001013766892119678,0.9977238538199097
36,1.0,0.9987376207120293,0.0,0.0,0.9987376207120293
37,0.0,0.0,3.9455808396300904,0.0009987376207120293,0.9977388830913173
38,1.0,0.0,3.9455808396300904,0.0,1.022909362888061
39,1.0,0.0,3.9455808396300904,0.0,1.0013030178769382
40,0.0,0.0,3.9455808396300904,0.0,0.978328461044531
41,1.0,0.0,3.9455808396300904,0.0,1.0013030178769382
42,0.0,0.0,3.9455808396300904,0.0,0.9737677549735815
43,2.0,0.9307260914289965,0.0,0.0009737677549735815,0.9297523236740229
44,2.0,0.9307260914289965,0.0,0.0,0.9307260914289965
45,1.0,0.9307260914289965,0.0,0.0,0.9307260914289965
46,0.0,0.0,3.7575425997667184,0.0009307260914289965,0.9297953653375676
47,2.0,0.916175861451573,0.0,0.0009297953653375676,0.9152460660862355
48,1.0,0.916175861451573,0.0,0.0,0.916175861451573
49,2.0,0.916175861451573,0.0,0.0,0.916175861451573
50,0.0,0.0,3.8862791965594123,0.000916175861451573,0.9152596855901215
51,0.0,0.0,3.8862791965594123,0.0,0.9166812293574976
52,2.0,0.9399281530300245,0.0,0.0009166812293574976,0.939011471800667
53,2.0,0.9399281530300245,0.0,0.0,0.9399281530300245
54,2.0,0.9399281530300245,0.0,0.0,0.9399281530300245
55,2.0,0.9399281530300245,0.0,0.0,0.9399281530300245
56,0.0,0.0,3.950232418703425,0.0009399281530300246,0.9389882248769945
57,2.0,0.902828729938604,0.0,0.0009389882248769945,0.9018897417137269
58,2.0,0.902828729938604,0.0,0.0,0.902828729938604
59,2.0,0.902828729938604,0.0,0.0,0.902828729938604
60,1.0,0.902828729938604,0.0,0.0,0.902828729938604
61,1.0,0.902828729938604,0.0,0.0,0.902828729938604
62,0.0,0.0,3.7499115644872343,0.000902828729938604,0.9019259012086653
63,1.0,0.0,3.7499115644872343,0.0,0.8808851642166371
64,2.0,0.8879287779051697,0.0,0.0008808851642166371,0.8870478927409531
65,0.0,0.0,3.8495083136317216,0.0008870478927409531,0.8870417300124287
66,0.0,0.0,3.8495083136317216,0.0,0.9055605382782554
67,0.0,0.0,3.8495083136317216,0.0,0.899998468759932
68,2.0,0.8629550857678971,0.0,0.000899998468759932,0.8620550872991373
69,2.0,0.8629550857678971,0.0,0.0,0.8629550857678971
70,2.0,0.8629550857678971,0.0,0.0,0.8629550857678971
71,1.0,0.8629550857678971,0.0,0.0,0.8629550857678971
72,1.0,0.8629550857678971,0.0,0.0,0.8629550857678971
73,2.0,0.8629550857678971,0.0,0.0,0.8629550857678971
74,2.0,0.8629550857678971,0.0,0.0,0.8629550857678971
75,0.0,0.0,4.0607235168613105,0.0008629550857678971,0.8620921306821291
76,2.0,0.8793833849258391,0.0,0.0008620921306821291,0.878521292795157
77,2.0,0.8793833849258391,0.0,0.0,0.8793833849258391
78,0.0,0.0,4.149878908408382,0.0008793833849258391,0.8785040015409132
79,1.0,0.0,4.149878908408382,0.0,0.8588168704686208
80,1.0,0.0,4.149878908408382,0.0,0.903247736978238
81,2.0,0.9245337796380412,0.0,0.000903247736978238,0.9236305319010629
82,2.0,0.9245337796380412,0.0,0.0,0.9245337796380412
